quote_id,quote,article_title,source,total_score,emotional_weight,interpretative_space,memorability
addi79qWUoCrgfQysvbs,I'm still alive,The Two-Way,NPR,1,2,2,2
ZZxipqISVw0wLiIDb2j7,"I got a call, and someone said, 'We heard that this was your lifelong dream.' And it is.",Performing Arts,NPR,1,2,2,2
eqFDsg0mOxr9AEsF4TaH,One world one fight,"Bosnian students rally for justice, drawing inspiration from anti-graft struggle in Serbia",AP News,1,2,2,2
F7UNur6i9gYGDXB4Y3Ip,"I don't know how to put it into words,",NewsNews,BBC,1,2,2,2
RjdzXaOLBvaTAIQ5elBi,This is the moment we were made for.,Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,1,2,2,2
ANIUi2YriJw22456XOW4,"drawing a line in the sand,",Could a rebellion in eastern Congo widen into a regional war?,AP News,1,2,2,2
UD1l3WVa7eVPxgVr63CK,warning signal,"Hamas says it will delay the release of more hostages, putting Gaza ceasefire at risk",AP News,1,2,2,2
BIzmGOaNJUaNEPHZv4I1,think much of it,Moment victim's family attacks murder suspect in court,Unknown Source,1,2,2,2
KWHYM5EItXwIPDRVX8aL,His body is not whole anymore. Throw him into the river or burn what’s left of him and find your peace.,Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
SUGcruGa0VolESstGFic,many people were standing and lots of people were starting to stand up,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,0.8333333333,2,1,2
AD2Nyp1R2cetobQYhvtE,without limitations,Colombia’s interior minister resigns as cracks deepen in President Petro’s coalition,AP News,0.8333333333,1,2,2
Eqit5KPjgiyNWbRcbirU,"Sometimes I feel at ease, but then I wonder, why did this happen?",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
R2YE8of25pfWwjnAmfhD,I felt no disgust or fear.,Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
38YLfzc3ggTqfeAXEmXb,building a permanent place,NewsNews,BBC,1,2,2,2
6JMeHjJ1e2ZBBk2rdrYv,tangible and significant consequences,Trump signs order imposing sanctions on International Criminal Court over investigations of Israel,AP News,0.8333333333,2,2,1
HleIOXlHVcWs8TxfgBQa,"No, it’s not good enough,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,0.6666666667,1,2,1
ZtbIliZ2VNA1Ijhk8gD2,a more uncertain reality,Europe,NPR,0.8333333333,2,2,1
iJ9cn80DsEHHDTGByDuE,"No one can kill a spirit, so you remain alive.",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
ahDv3JTxw3ioN9u558Kh,I try and walk off sometimes without dancing and I can’t. I have to dance.,Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,0.8333333333,2,1,2
B8y2WxQpDxsxjSB4ZAF0,"know what regular people are going through,",Television,NPR,0.5,1,1,1
TIHfMTQvI8L3rJvI49dj,I think we never will.,Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
bCFsrqbjLNcq19KsuSne,"welcome the stranger,",Vatican charity says Trump administration’s gutting of USAID is ‘reckless’ and could kill millions,AP News,1,2,2,2
kCWzO6bjtbAdvH9gpqPI,waves of boldness,"Bosnian students rally for justice, drawing inspiration from anti-graft struggle in Serbia",AP News,0.8333333333,1,2,2
Pu4ufHFI2WHz7qGwbQIL,"reimagined, restored and expanded",Europe,NPR,0.8333333333,1,2,2
7xJoeehGhBj5e0tOJqT8,"I have been waiting for this moment for five years,",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,0.8333333333,2,1,2
BCKzbItiFOSXqU7hCPJV,"But nevertheless, we are resilient. So we’ll try to do our best.",Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.8333333333,2,1,2
KGX9TEd2WemtQ5XWAcyR,formidable stone block.,The Two-Way,NPR,1,2,2,2
Mu6Wix21gu8u8y9k7bEp,"My face might be wrinkled, but my heart is strong,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
Au3qqSNulcWd1IaO55ME,for their safety,NewsNews,BBC,0.5,1,1,1
gRRGF7quO0gEvlQBaDGv,flooding the zone.,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.6666666667,2,1,1
ATOyVLpIcVIaP1GEZhJo,"We grew up knowing there was nothing anyone could do to make us any less connected,","A New Zealand mountain is granted personhood, recognizing it as sacred for Māori",AP News,0.8333333333,2,1,2
MXod5UwlWXPMFTRdFSGr,take control,"Jeremy Bowen: Trump's Gaza plan won't happen, but it will have consequences",Unknown Source,0.6666666667,2,1,1
SKr8uASO86gEdbSojgKE,"It’s something new and unusual,",Pair of rare black wolves caught on camera in Polish forest by wildlife researchers,AP News,0.5,1,1,1
ldwodgKInkDBhqtj3qTn,case-by-case,They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,0.8333333333,2,2,1
dHTv2envkWCXF06RHtxI,"Wait a minute. This sounds familiar,",Rise in diagnoses is prompting more US adults to ask: ‘Do I have ADHD?’,AP News,0.8333333333,2,1,2
3Chgzmuy46PjxmZRto4R,"I can’t stay calm when others, like I did, are crying,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
3EA64PSyGCItCzD16Odt,"It's a demolition site. It'll be reclaimed. It'll be levelled out, fixed up. There won't be anybody there,",Key US trade partners nervously wait for Trump to reveal new tariffs,BBC,0.6666666667,2,1,1
VRPphFZkF5Xru0UPoi3z,symbol of resiliency.,Performing Arts,NPR,0.8333333333,2,2,1
RDI9gdv5vxf7fUhieCDO,not for sale,Trump says no right of return for Palestinians under Gaza plan,BBC,0.5,1,1,1
68nn162Btlm10gLDA0dW,a punching motion,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,1,2,2,2
DD6CFIu8rusN72EjA7mm,because they were,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,0.6666666667,1,2,1
RyUkubVtG6cjzIZlQcLK,"We love planning, it’s our favorite thing,",Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,0.8333333333,2,1,2
ISBrktxX3p0TUycVrMc8,Fork in the Road,National,NPR,0.6666666667,2,1,1
UJhqvpltLInj3PA91ydD,"All we want to do is go home,",More Israeli checkpoints are slicing up the West Bank,AP News,0.8333333333,2,1,2
1pXVanJYhQeMKNkpG75s,To be dragged through the mud like this is disrespectful.,Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.8333333333,2,1,2
6RcFPEKE900P8gYAOHgY,"All we can hope for is that the people, God’s people and the people of goodwill, will help and protect those vulnerable people who are suddenly made much more vulnerable,",Vatican charity says Trump administration’s gutting of USAID is ‘reckless’ and could kill millions,AP News,0.5,1,1,1
8ItMbzd1oCOClVfdxPaI,"We accept the mandate of the people with great humility,",Modi’s party wins most seats in high-stakes New Delhi polls for first time in 27 years,AP News,0.1666666667,1,0,0
hcMJF40ZZIjXYxUsPkTk,far too late to be considered honorable.,Romanian President Klaus Iohannis announces resignation after pressure by populists,AP News,0.6666666667,1,2,1
dvOrswlLECj2Ass6zAfW,"You are no longer disappeared, but present.",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,2,1
7v1AC0N0AjFkuj7dU1GA,"We wanted to kind of put a stake in the ground,",Efforts to put carbon dioxide underground face less support in Trump’s second term,AP News,0.8333333333,1,2,2
GK6TzB8GPlM7rlBk0MNb,death knell,"Jeremy Bowen: Trump's Gaza plan won't happen, but it will have consequences",Unknown Source,1,2,2,2
XwturUWQsHxyVIdVWQOz,the catastrophe,"Jeremy Bowen: Trump's Gaza plan won't happen, but it will have consequences",Unknown Source,1,2,2,2
li4bpkjP8sGMdlfKDPyD,technical issues,National,NPR,0.5,0,2,1
IkQ1cb3DOhrXZfHytbmF,"He can get more out of people than anyone else I have ever seen,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.8333333333,2,1,2
Lyhqa2pIg0ocGr78Iywu,the populists can say they won.,Romanian President Klaus Iohannis announces resignation after pressure by populists,AP News,0.8333333333,2,2,1
8bIb4PxhlE2MlK2NBEiM,completely upend,Key US trade partners nervously wait for Trump to reveal new tariffs,BBC,0.6666666667,1,1,2
D4OqzRgev9jKHHbq0NhG,a real thing,Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,0.6666666667,1,2,1
HsWxJd4rRQaLySLZpRMn,absolute rejection,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.5,1,1,1
jIEb6KN6htDleMjMLG2B,"I have faith in my dad,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
AsT4VZgQpOaHdeyh9hl0,Operation Just Cause,The Americas,NPR,0.6666666667,1,1,2
0uahVoRLNfIQealgVj1l,He never takes no for an answer.,Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.6666666667,1,1,2
8whLi2vVXZio9M6UgORO,assumptions,Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,0.6666666667,1,2,1
g0dEOZX3xMZn1ZMEc9bu,"We've been supportive characters for far too long,",Art & Design,NPR,1,2,2,2
guBx2NxcFtfJ1NUHxpz9,legitimate power,Trump says no right of return for Palestinians under Gaza plan,BBC,0.6666666667,1,2,1
Hwmp6pGI5tELZg8Cq4X9,Add Up My Love.,All Songs Considered,NPR,0.6666666667,2,1,1
ePmdSq6jPXRW5iVg5U5J,These were matters of life and death.,"Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,0.8333333333,2,2,1
dgWUjWfSAHUsQdepyo1Y,"She’s a saucy girl. Her name says it all,",What the Westminster show dogs’ names mean,AP News,0.8333333333,2,1,2
A4iOa7DadiOmeGw4uTTl,"I was 11 when my family was destroyed and we haven’t recovered,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
bOAoQLTTnO99g2y1lzxp,"I think we've just had a very exciting moment,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,1,2,2,2
mDHdnpIpklEuEg1Qnea9,Only those who didn’t speak out were welcomed.,"Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,0.6666666667,1,2,1
AzG3iHR2GLzh4Qg8JE2t,"People paid him with eggs, a banana, a couple of hens,","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,0.8333333333,2,1,2
BPrBd9LlodV1wRpQMZp9,"Everyone thinks it’s only for like, the trades,",Latino workers working to overcome a technological divide brought on by automation and AI,AP News,0.6666666667,1,1,2
FIvgvp6eIim044vZdYQT,"mess around and find out,",Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.6666666667,2,1,1
bV1ttR9NW6B899wrpv9u,"as a feminist and as a woman,",Colombia’s interior minister resigns as cracks deepen in President Petro’s coalition,AP News,1,2,2,2
4WcXnuKf8rR4F0LMxMMC,difficult decisions,NewsNews,BBC,0.5,2,0,1
5t5thqrWFGaS88jGeepa,"We’re waiting for the decisions, but we are not very, I would say, optimistic,",Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.8333333333,2,1,2
6URikRd3FbM8pTSrXOdp,What am I supposed to tell my wife?,More Israeli checkpoints are slicing up the West Bank,AP News,0.8333333333,2,1,2
8vnOFAowA4v2ozWXO9uC,"brilliant and bracing,",The Two-Way,NPR,0.6666666667,1,1,2
bHozxTqKCNOEDW7xBDCv,"I dream of him every week,","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,1,2,2,2
DXBwd6w692Sw18rEleC0,"It was tough,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.1666666667,1,0,0
Wla5Ue5SvUQFj1HGd7TN,We won’t stop!,"Bosnian students rally for justice, drawing inspiration from anti-graft struggle in Serbia",AP News,0.6666666667,2,1,1
jjyODOGMx6qRIpZ4NcHi,"Pig and dogs ate the bodies, but we got used to that,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
5LyqF10d6frKAncSZY4s,"Eventually, I’m hopeful that he’ll be able to become a refugee and come to the United States,",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,0.1666666667,1,0,0
GEaQw4gAxfoGxR1OGYQ7,"The amphitheatre became
full of sound, and in the first seconds I heard it I wasn't sure if it was
screaming or laughing or both,",Trial witness identifies Rushdie stabbing suspect as being responsible,BBC,0.8333333333,2,1,2
deWIthvwVY1ZMHHs6k33,The roof is on fire.,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.6666666667,1,1,2
5pNlGfCCNfTBBCmEc1d1,"Education is one of our major, major goals.",Pair of rare black wolves caught on camera in Polish forest by wildlife researchers,AP News,0.1666666667,1,0,0
7Mp4SFyvnsjiiO7lHtpd,forced exile.,Who is Daniel Noboa? The conservative millionaire president seeking reelection in Ecuador,AP News,0.6666666667,1,2,1
8HoaeTgcJ6M0XqGDwKqV,lucky no-one was killed,NewsNews,Unknown Source,0.6666666667,2,1,1
9dSTLh09muqEKYF4m1Bv,incorporating all their physical and metaphysical elements.,"A New Zealand mountain is granted personhood, recognizing it as sacred for Māori",AP News,0.8333333333,2,1,2
FKrFJ9L467pk2h0c1Qkb,completely changed,Key US trade partners nervously wait for Trump to reveal new tariffs,BBC,0.8333333333,1,2,2
gWyFhZTd4IA551uBNpK3,"I was shocked. I am still in shock because I have already waited four years for this process, to get out of this hell and to get to a safe place and live in peace and have a new beginning,",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,0.8333333333,2,1,2
jy3q7zArM3vscHuGADds,nowhere near enough progress,NewsNews,BBC,0.5,1,1,1
Ef5QZBS5lkxdQudIzOTh,"I hope to compete internationally now that we finally have a place to train,",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,0.3333333333,1,0,1
YIYibOw4lssaeWpkogcu,"I won’t let go because I made a commitment,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
0pG1ixH8h5GLXpWkc9mz,any country willing to accept them.,NPRWorld,NPR,0.3333333333,1,0,1
0qNt7wCJgKtO5UWKsoTl,significant number,Zelenskyy confirms a new Ukrainian offensive in Russia’s Kursk region,AP News,0.8333333333,2,1,2
13xNIaYGYAZFq3Q4l93e,"Not Like Us,",Culture,NPR,0.6666666667,2,1,1
1ME5o6wdPCoyOzWWhR66,"It’s very difficult to focus when you are home and you have kids,",Rise in diagnoses is prompting more US adults to ask: ‘Do I have ADHD?’,AP News,0.6666666667,1,1,2
5cHMGjsft8yJQRzC9J7P,"They need every penny to restitch the fabric to bring the community back together,","Hawaii court rules against insurance companies in Maui wildfire, allowing $4B settlement to proceed",AP News,0.3333333333,0,1,1
A4GfdGxeRHbBmBZ4B921,"I am an action person. The depression and the sadness that we knew this was going to cause was something I couldn’t deal with,",Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,1,2,2,2
CGQzuNxWc1xBCLpEY1V7,"We knew he was going to grow,",What the Westminster show dogs’ names mean,AP News,0.6666666667,1,1,2
EwAtcTSijfyRUGdGKvrC,"You know, they don’t pay very much for military. And the reason they don’t pay much is they assume that we’re going to protect them,",Trump says he is serious about Canada becoming 51st state in Super Bowl interview,AP News,0.6666666667,2,1,1
GWRdK2kvScjb1G3UBEpD,"We never bow to the foreigners,","With Trump in the White House, Iranians mark the anniversary of the 1979 Islamic Revolution",AP News,0.6666666667,1,1,2
LPfTMJO1PObkUnOzd3G1,It’s well designed to make our life hell.,More Israeli checkpoints are slicing up the West Bank,AP News,0.6666666667,1,1,2
fdAg05C677bdH54OzorZ,It's not that I felt like I look better without makeup. I just look more myself.,Movies,NPR,0.6666666667,1,1,2
3voMz9FTbHvpIsG3yrLg,not being a good ally.,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.6666666667,2,1,1
Uwo3vFcLSMs39ySeKKEW,invest heavily,Key US trade partners nervously wait for Trump to reveal new tariffs,BBC,0.5,1,1,1
bDvlogFDnh7pjBNSTuMn,beautiful communities,Trump says no right of return for Palestinians under Gaza plan,BBC,0.5,1,1,1
fhrNySIzwcpGzRnbALCA,"We do think it’s really important to continue to engage individuals and meet them where they are,",Latino workers working to overcome a technological divide brought on by automation and AI,AP News,0.6666666667,2,1,1
gPfVUwpZimyVYEJ73hh4,Are we meant to never see our grandchildren?,More Israeli checkpoints are slicing up the West Bank,AP News,0.8333333333,2,1,2
4C8HCSxMoWVXkb9Y3JP7,Many people would say that shutting down is not the best way to reform them.,Vatican charity says Trump administration’s gutting of USAID is ‘reckless’ and could kill millions,AP News,0.5,1,1,1
E5xuqXorE6bvsICb9SPc,America first,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.1666666667,1,0,0
G4rhtlD47ykOlcMrQBKc,"Having a disappeared doesn’t mean that a loved one simply left,","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,0.6666666667,2,1,1
K11zptugZmSvz6394vq1,"CLOSE IT DOWN,",Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,0.6666666667,2,1,1
L90yszljeOOdjVEjrbG0,"Now, we have a safe space, and I hope this is just the beginning.",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,0.6666666667,1,1,2
NSWJC3JvKWoF3lhuI2uR,it's gotta be a culture shock.,Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.6666666667,2,1,1
XAmrpdjuwNIjaXolxUmf,"It was all silence. Then we saw our house completely destroyed, burned.",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
dguIHY1dp1fJegV88v5p,subjected to shelling and gunfire,War-torn Lebanon forms its first government in over 2 years to end deadlock,AP News,0.6666666667,1,1,2
8i94l6lQj4lDHczMp7qe,"Before, we were often forced to move or got injured because there were no proper places for us,",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,0.6666666667,1,1,2
9S7eaOdan0nBicg5ZYA2,"People are all afraid. Today, people have begun to stock up on supplies for fear that war will return again,","Hamas says it will delay the release of more hostages, putting Gaza ceasefire at risk",AP News,0.8333333333,2,1,2
G1WbffVp1VmjTmJy3FRc,"As we got close, we were surprised that no one, not even our dogs, was around,",Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,1,2,2,2
GaFzzrhxuP3c98RzdqQm,That's the official answer we have.,Key US trade partners nervously wait for Trump to reveal new tariffs,BBC,0.8333333333,1,2,2
TehYnChT5BHgOHmE9D3z,"They are living in Afghanistan, our mothers, our fathers, and brothers.",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,0.1666666667,0,0,1
cBNqe5CxlXp9PWr93kZx,Beautiful Things,Music Features,NPR,0.5,1,1,1
K2l2bZwnkGWaTmTzI4Kc,"It’s his spa day,",What the Westminster show dogs’ names mean,AP News,0.6666666667,2,1,1
KPkX8iOsI2sOZkG44M4r,"We need more places like this — safe spaces where young people can be active, express themselves, and dream of something bigger,",A new skate park in Baghdad is the safe space Iraqi youth have longed for,AP News,0.3333333333,1,0,1
kOH7MPIvEqMrP42R71eG,like juggling a polygamous marriage,Could a rebellion in eastern Congo widen into a regional war?,AP News,0.8333333333,2,1,2
0K2xFnSq3RyhNvdg3KOh,"He interpreted that as a sign that this person didn't take as much pride in his work as he should,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.6666666667,2,1,1
2K7gnUWOm6C5PotAjoDd,This job is how I feed my kids.,More Israeli checkpoints are slicing up the West Bank,AP News,1,2,2,2
2kLzXg4Er9qVwi0g7NdP,but it seemed to me as though technology was taking opportunities away from us.,Latino workers working to overcome a technological divide brought on by automation and AI,AP News,0.6666666667,1,2,1
2uMs47c76VfbsUu5nNjq,"This just goes to show how much we need support for these people. And this is not just D.C. people, by the way,",Volunteers are now tracking what’s already been lost in the USAID freeze,AP News,0.1666666667,1,0,0
74GH7cfw5S6uZeSnEEQG,"Also we help our families back home,",They helped US order airstrikes against Taliban. Now Trump’s moves have left those Afghans in limbo,AP News,0.5,1,1,1
LLcxWON3FiChE2wfdVm9,"These barriers do everything except their stated purpose of providing security,",More Israeli checkpoints are slicing up the West Bank,AP News,0.6666666667,2,1,1
XHK2JAKn8b7dhJuTriJ1,the expansiveness of the Black experience.,Music Features,NPR,0.8333333333,2,1,2
YJ4AvDbT1JuGap8qnXfi,And I actually checked with him a few times [and] said 'are you sure?',Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.6666666667,1,1,2
L80fm8fNyaGhbDE6YKct,I’ll keep looking for justice and truth.,Peru’s disappeared: Dozens look for relatives lost to violence. A woman who knows their sorrow helps,AP News,0.8333333333,2,1,2
LeFLrLpqVIqhYE5hJqO4,"For those of us who fight for memory, that battle was lost.","Paraguay’s disappeared: A dictator’s shadow is a roadblock for justice, but a few keep up the fight",AP News,1,2,2,2
3WORnqJmuQYWqbssHqzq,special relationship,Trump has unleashed chaos by distraction upon the international community. That’s no accident,AP News,0.6666666667,1,2,1
A3HqOWS05envIEGIzT1B,I think that's a large part of the reason why I learned to sing.,Movies,NPR,0.6666666667,1,1,2
B5OfBCMkJh89LeZw0Mrl,"The rights of our people and our land are not for sale, exchange or bargaining.",Trump says no right of return for Palestinians under Gaza plan,BBC,0.8333333333,2,1,2
CXEvnSTsa0Dr7oetxIp8,"Perfect Stranger,",All Songs Considered,NPR,0.8333333333,2,1,2
GuTaHIO9QaJqFH3W5xD5,the forgotten men and women.,Analysis,NPR,0.8333333333,2,2,1
jGrtyQwrqwc5kFr7YL1B,did not care,Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.6666666667,1,1,2
jP48YfYHsdrAzNHUp6nC,demolition site,Key US trade partners nervously wait for Trump to reveal new tariffs,BBC,0.8333333333,2,1,2
Ogd1H4mRwRFczVjQexDU,"You know I always say we have to be protective of our geniuses because we don't have too many. But that one is a good one,",Trump ally Musk is remaking government - but will they clash?,Unknown Source,0.6666666667,2,1,1
5XDBpXN5atQJ1J8gLkhK,starvation as a method of warfare,ICC condemns sanctions by Trump administration and pledges to continue its work,AP News,0.6666666667,1,1,2
99senwdH9ODUo8mW86hy,I'm a nationalist and a globalist,NPRWorld,NPR,0.8333333333,2,2,1
AosvBuHHOI3NTuNzTbvm,"There is no safety, because any defect in the agreement leads to the return of war, and the threat of a return of war.","Hamas says it will delay the release of more hostages, putting Gaza ceasefire at risk",AP News,0.6666666667,2,1,1
Bb0ys5KJ2jqMsebZVPu2,extraordinary,UN suspends its humanitarian work in Houthi rebels’ stronghold in Yemen after more staff detentions,AP News,0.5,1,1,1
